"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: minPrice","Param: minQuantity","Param: size"
"io.github.richardstartin.range.CountTransactionsBenchmark.stream1:dTLB-stores","avgt",1,1,38839.419417,NaN,"#/op",100,1,1000000
"io.github.richardstartin.range.CountTransactionsBenchmark.stream1:iTLB-load-misses","avgt",1,1,103.528155,NaN,"#/op",100,1,1000000
"io.github.richardstartin.range.CountTransactionsBenchmark.stream1:iTLB-loads","avgt",1,1,236.425243,NaN,"#/op",100,1,1000000
"io.github.richardstartin.range.CountTransactionsBenchmark.stream1:instructions","avgt",1,1,23025299.335922,NaN,"#/op",100,1,1000000
"io.github.richardstartin.range.CountTransactionsBenchmark.stream2","avgt",1,5,3317.274682,41.700779,"us/op",100,1,1000000
"io.github.richardstartin.range.CountTransactionsBenchmark.stream2:CPI","avgt",1,1,0.689466,NaN,"clks/insn",100,1,1000000
"io.github.richardstartin.range.CountTransactionsBenchmark.stream2:IPC","avgt",1,1,1.450397,NaN,"insns/clk",100,1,1000000
"io.github.richardstartin.range.CountTransactionsBenchmark.stream2:L1-dcache-load-misses","avgt",1,1,568113.758781,NaN,"#/op",100,1,1000000
"io.github.richardstartin.range.CountTransactionsBenchmark.stream2:L1-dcache-loads","avgt",1,1,3172809.181577,NaN,"#/op",100,1,1000000
"io.github.richardstartin.range.CountTransactionsBenchmark.stream2:L1-dcache-stores","avgt",1,1,9449.847581,NaN,"#/op",100,1,1000000
"io.github.richardstartin.range.CountTransactionsBenchmark.stream2:L1-icache-load-misses","avgt",1,1,2014.745527,NaN,"#/op",100,1,1000000
"io.github.richardstartin.range.CountTransactionsBenchmark.stream2:LLC-load-misses","avgt",1,1,79207.858184,NaN,"#/op",100,1,1000000
"io.github.richardstartin.range.CountTransactionsBenchmark.stream2:LLC-loads","avgt",1,1,152649.514911,NaN,"#/op",100,1,1000000
"io.github.richardstartin.range.CountTransactionsBenchmark.stream2:LLC-store-misses","avgt",1,1,94.460570,NaN,"#/op",100,1,1000000
"io.github.richardstartin.range.CountTransactionsBenchmark.stream2:LLC-stores","avgt",1,1,174.135189,NaN,"#/op",100,1,1000000
"io.github.richardstartin.range.CountTransactionsBenchmark.stream2:branch-misses","avgt",1,1,50120.314778,NaN,"#/op",100,1,1000000
"io.github.richardstartin.range.CountTransactionsBenchmark.stream2:branches","avgt",1,1,3176451.701127,NaN,"#/op",100,1,1000000
"io.github.richardstartin.range.CountTransactionsBenchmark.stream2:cycles","avgt",1,1,8619442.954274,NaN,"#/op",100,1,1000000
"io.github.richardstartin.range.CountTransactionsBenchmark.stream2:dTLB-load-misses","avgt",1,1,8941.594433,NaN,"#/op",100,1,1000000
"io.github.richardstartin.range.CountTransactionsBenchmark.stream2:dTLB-loads","avgt",1,1,3191054.718357,NaN,"#/op",100,1,1000000
"io.github.richardstartin.range.CountTransactionsBenchmark.stream2:dTLB-store-misses","avgt",1,1,16.675282,NaN,"#/op",100,1,1000000
"io.github.richardstartin.range.CountTransactionsBenchmark.stream2:dTLB-stores","avgt",1,1,11435.061630,NaN,"#/op",100,1,1000000
"io.github.richardstartin.range.CountTransactionsBenchmark.stream2:iTLB-load-misses","avgt",1,1,28.834327,NaN,"#/op",100,1,1000000
"io.github.richardstartin.range.CountTransactionsBenchmark.stream2:iTLB-loads","avgt",1,1,98.363817,NaN,"#/op",100,1,1000000
"io.github.richardstartin.range.CountTransactionsBenchmark.stream2:instructions","avgt",1,1,12501613.281643,NaN,"#/op",100,1,1000000
"io.github.richardstartin.range.CountTransactionsBenchmark.stream2Polluted","avgt",1,5,7878.109699,30.046802,"us/op",100,1,1000000
"io.github.richardstartin.range.CountTransactionsBenchmark.stream2Polluted:CPI","avgt",1,1,0.330451,NaN,"clks/insn",100,1,1000000
"io.github.richardstartin.range.CountTransactionsBenchmark.stream2Polluted:IPC","avgt",1,1,3.026167,NaN,"insns/clk",100,1,1000000
"io.github.richardstartin.range.CountTransactionsBenchmark.stream2Polluted:L1-dcache-load-misses","avgt",1,1,563206.676101,NaN,"#/op",100,1,1000000
"io.github.richardstartin.range.CountTransactionsBenchmark.stream2Polluted:L1-dcache-loads","avgt",1,1,21052756.827044,NaN,"#/op",100,1,1000000
"io.github.richardstartin.range.CountTransactionsBenchmark.stream2Polluted:L1-dcache-stores","avgt",1,1,9928407.676101,NaN,"#/op",100,1,1000000
"io.github.richardstartin.range.CountTransactionsBenchmark.stream2Polluted:L1-icache-load-misses","avgt",1,1,5325.966981,NaN,"#/op",100,1,1000000
"io.github.richardstartin.range.CountTransactionsBenchmark.stream2Polluted:LLC-load-misses","avgt",1,1,9567.973270,NaN,"#/op",100,1,1000000
"io.github.richardstartin.range.CountTransactionsBenchmark.stream2Polluted:LLC-loads","avgt",1,1,12490.430818,NaN,"#/op",100,1,1000000
"io.github.richardstartin.range.CountTransactionsBenchmark.stream2Polluted:LLC-store-misses","avgt",1,1,207.051887,NaN,"#/op",100,1,1000000
"io.github.richardstartin.range.CountTransactionsBenchmark.stream2Polluted:LLC-stores","avgt",1,1,1226.237421,NaN,"#/op",100,1,1000000
"io.github.richardstartin.range.CountTransactionsBenchmark.stream2Polluted:branch-misses","avgt",1,1,5999.715409,NaN,"#/op",100,1,1000000
"io.github.richardstartin.range.CountTransactionsBenchmark.stream2Polluted:branches","avgt",1,1,8678361.591195,NaN,"#/op",100,1,1000000
"io.github.richardstartin.range.CountTransactionsBenchmark.stream2Polluted:cycles","avgt",1,1,20305060.028302,NaN,"#/op",100,1,1000000
"io.github.richardstartin.range.CountTransactionsBenchmark.stream2Polluted:dTLB-load-misses","avgt",1,1,8946.959119,NaN,"#/op",100,1,1000000
"io.github.richardstartin.range.CountTransactionsBenchmark.stream2Polluted:dTLB-loads","avgt",1,1,21034955.750000,NaN,"#/op",100,1,1000000
"io.github.richardstartin.range.CountTransactionsBenchmark.stream2Polluted:dTLB-store-misses","avgt",1,1,26.006289,NaN,"#/op",100,1,1000000
"io.github.richardstartin.range.CountTransactionsBenchmark.stream2Polluted:dTLB-stores","avgt",1,1,9974004.968553,NaN,"#/op",100,1,1000000
"io.github.richardstartin.range.CountTransactionsBenchmark.stream2Polluted:iTLB-load-misses","avgt",1,1,37.757862,NaN,"#/op",100,1,1000000
"io.github.richardstartin.range.CountTransactionsBenchmark.stream2Polluted:iTLB-loads","avgt",1,1,72.025157,NaN,"#/op",100,1,1000000
"io.github.richardstartin.range.CountTransactionsBenchmark.stream2Polluted:instructions","avgt",1,1,61446494.993711,NaN,"#/op",100,1,1000000
